Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.4859056875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860056875, 1, 1, 1, 0, 1, 1, 1, 0
1.48600575, 1, 1, 1, 1, 1, 1, 1, 1
1.4860059375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860069375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860071875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860081875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860084375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860094375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860096875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860106875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860109375, 0, 0, 0, 0, 1, 0, 0, 0
1.486011625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860119375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860121875, 0, 0, 0, 1, 0, 1, 0, 0
1.486012875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860131875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860134375, 0, 0, 0, 0, 0, 0, 1, 0
1.486014125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860144375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860146875, 0, 0, 0, 0, 1, 1, 0, 0
1.486015375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860156875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860159375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860169375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860171875, 0, 0, 0, 0, 1, 1, 1, 0
1.486017875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860181875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860184375, 0, 0, 0, 0, 0, 1, 1, 0
1.486019125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860194375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860196875, 0, 0, 0, 1, 1, 1, 0, 0
1.486020375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860206875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860209375, 0, 0, 0, 1, 1, 1, 1, 0
1.486021625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860219375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860221875, 0, 0, 0, 1, 1, 1, 1, 0
